property_id,full_address,beds,baths,year_built,sq_ft_interior,sq_ft_lot,price,price_label,lat,long,img_url,zip_code
31799884,3535 CUMBERLAND ST LANCASTER TX 75134,2,1.0,1953,716,21044,124174,Redfin Estimate,32.6345317,-96.8208435,['https://ssl.cdn-redfin.com/photo/90/mbphoto/370/genMid.10329370_0.jpg'],75134
30780645,2214 BRUCE DR LANCASTER TX 75134,4,2.0,2007,2096,7501,320101,Redfin Estimate,32.6201217,-96.8005006,['https://maps.googleapis.com/maps/api/streetview?channel=mb-ldp-publicrecord&location=2214+Bruce+Dr%2C+Lancaster%2C+TX+75134&size=665x441&source=outdoor&client=gme-redfin&signature=vDnZcGGVIQead58YnHz33ncEzR4='],75134
31795945,1053 ALICIA LN LANCASTER TX 75134,3,2.0,1974,1728,7013,265482,Redfin Estimate,32.6093332,-96.7805405,['https://ssl.cdn-redfin.com/photo/90/mbphoto/138/genMid.14215138_0.jpg'],75134
30778692,1547 ILLINOIS AVE LANCASTER TX 75134,3,2.0,2012,1876,7749,303138,Redfin Estimate,32.6310458,-96.7959808,['https://ssl.cdn-redfin.com/photo/90/mbphoto/262/genMid.14155262_0.jpg'],75134
30786422,2207 MARVIN DR LANCASTER TX 75134,3,2.0,2007,1932,7876,295088,Redfin Estimate,32.6196717,-96.7994752,['https://ssl.cdn-redfin.com/photo/90/mbphoto/473/genMid.14151473_0.jpg'],75134
30786486,2508 ABBY LN LANCASTER TX 75134,3,2.0,2009,2193,8651,326231,Redfin Estimate,32.6192771,-96.7982406,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=2508+Abby+Ln%2C+Lancaster%2C+TX+75134&size=665x441&source=outdoor&client=gme-redfin&signature=C4PZXaw3XL0cWqiRGRc0jdQwz0c='],75134
31776691,438 S DALLAS AVE LANCASTER TX 75146,3,2.0,1945,1832,12201,227982,Redfin Estimate,32.5881227,-96.756446,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=32.5881227%2C-96.756446&size=665x441&source=outdoor&client=gme-redfin&signature=dUC8brK-yXk-JkwzQ-dKzYIY7o8='],75146
31776736,311 W MAIN ST LANCASTER TX 75146,5,2.0,1920,2243,10629,273683,Redfin Estimate,32.5924482,-96.7598129,['https://ssl.cdn-redfin.com/photo/90/mbphoto/461/genMid.20231461_1.jpg'],75146
31776521,223 7TH ST LANCASTER TX 75146,2,1.0,1944,864,7601,151521,Redfin Estimate,32.5992449,-96.7589136,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=223+W+7th+St%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=kstHVW1xzfHgivEZs-JEE2ItOFw='],75146
31776499,115 7TH ST LANCASTER TX 75146,3,1.0,1955,1140,5001,173953,Redfin Estimate,32.5991822,-96.7572198,['https://ssl.cdn-redfin.com/photo/90/mbphoto/598/genMid.14153598_0.jpg'],75146
31776393,205 N ELLIS ST LANCASTER TX 75146,3,2.0,1994,1537,20600,304746,Redfin Estimate,32.5929866,-96.7608376,['https://ssl.cdn-redfin.com/photo/90/mbphoto/368/genMid.11233368_3.jpg'],75146
30728809,1210 SPRING CREEK DR LANCASTER TX 75146,4,2.5,2002,3129,8050,335574,Redfin Estimate,32.5907551,-96.7761476,['https://ssl.cdn-redfin.com/photo/90/mbphoto/539/genMid.10909539_2.jpg'],75146
31801834,615 W 6TH ST LANCASTER TX 75146,3,1.0,1958,1056,20482,209900,Redfin Estimate,32.5985275,-96.7665262,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=615+W+6th+St%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=Wx_vWKDrcQo_qDEyh-wEvVcyRyk='],75146
